CID,gender,Senior_Citizen,Marrital_Status,No_Dependent,MonthSinceJoining,Service_Phone,Morethan1Connection,Internet_Service,Security_Deposit,Device_Insurance,TechnicalSupport,LiveTVService,MovieAccount,TypeOfContract,Ebill,MethodOfPayment,AverageMonthlyCharge,TotalChargesTillDate,Churn
79799_6,female,1,Yes,2,45,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),73,4084,No
82113_5,female,0,No,3,10,Yes,Yes,DSL,No,No,No,No,No,monthly,No,Electronic check,52,766,Yes
81655_2,female,1,No,2,4,Yes,No,Fiber optic,No,No,No,No,Yes,monthly,Yes,Electronic check,79,794,Yes
82876_7,f,0,Yes,2,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19,614,No
73173_4,f,0,No,3,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,monthly,No,Credit card (automatic),21,403,No
74303_6,male,0,Yes,0,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20,1245,No
77319_6,female,0,No,0,22,No,No phone service,DSL,No,No,No,No,No,monthly,No,Electronic check,25,46,No
75726_9,m,0,No,1,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,21,582,No
78002_5,male,0,No,2,27,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,monthly,Yes,Bank transfer (automatic),95,463,Yes
71041_8,f,0,No,0,24,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,61,1540,No
81451_7,m,0,No,2,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,monthly,Yes,Electronic check,86,170,Yes
73725_7,male,0,No,1,46,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),107,5168,No
74978_2,female,0,No,3,18,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,monthly,No,Credit card (automatic),108,6780,No
70580_9,f,0,No,0,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,monthly,No,Credit card (automatic),20,95,No
74496_9,m,0,Yes,3,49,Yes,No,DSL,No,No,No,Yes,No,monthly,Yes,Mailed check,55,55,No
79188_4,m,0,No,3,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,monthly,No,Mailed check,20,208,No
82739_5,male,1,No,0,13,Yes,Yes,Fiber optic,No,No,No,No,No,monthly,Yes,Bank transfer (automatic),73,3830,No
75059_7,m,1,Yes,2,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,monthly,No,Electronic check,89,5295,No
78395_1,female,0,No,2,17,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),105,6890,No
74314_10,f,0,Yes,2,30,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),75,3254,No
77505_4,female,0,Yes,3,11,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),101,6384,No
82612_6,female,0,No,3,13,Yes,No,DSL,No,No,No,No,No,monthly,No,Mailed check,44,44,Yes
80654_9,female,1,No,2,32,Yes,No,Fiber optic,No,No,No,Yes,Yes,monthly,Yes,Electronic check,90,478,Yes
74903_5,female,0,No,0,22,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),69,4448,No
71907_9,female,0,Yes,3,36,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,111,7321,No
80586_8,m,0,Yes,3,26,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),99,4135,No
81832_7,male,1,Yes,2,43,Yes,Yes,Fiber optic,No,No,No,Yes,No,monthly,Yes,Electronic check,86,86,Yes
83153_10,female,0,Yes,3,47,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,21,698,No
71696_9,m,0,No,2,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,monthly,Yes,Mailed check,19,169,No
79603_6,f,0,No,0,33,No,No phone service,DSL,No,No,No,Yes,Yes,monthly,Yes,Electronic check,45,174,Yes
81734_10,female,0,Yes,3,20,Yes,Yes,DSL,No,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),77,2754,No
77374_7,female,0,No,3,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,19,69,No
82325_1,f,0,Yes,1,4,No,No phone service,DSL,No,No,No,No,No,monthly,Yes,Mailed check,25,435,No
80659_10,female,0,Yes,2,24,No,No phone service,DSL,Yes,No,Yes,No,No,monthly,No,Bank transfer (automatic),35,1078,Yes
80950_9,f,0,No,1,40,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,monthly,No,Mailed check,96,96,Yes
82243_9,m,0,No,1,10,No,No phone service,DSL,Yes,Yes,Yes,No,No,monthly,No,Mailed check,41,107,No
73541_8,m,0,Yes,2,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,monthly,No,Electronic check,20,851,No
75163_9,female,0,No,2,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,monthly,No,Mailed check,21,21,Yes
77967_7,male,0,Yes,0,17,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,One year,No,Bank transfer (automatic),84,5849,No
77182_7,m,0,No,3,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,monthly,No,Mailed check,20,110,No
80192_3,male,0,No,3,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,monthly,No,Bank transfer (automatic),20,20,No
74106_9,male,0,No,1,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),21,596,No
71717_2,f,1,No,3,48,No,No phone service,DSL,No,No,No,No,Yes,monthly,Yes,Electronic check,35,330,Yes
74425_6,m,0,No,2,26,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),99,2514,No
74199_5,female,0,Yes,2,29,Yes,No,Fiber optic,Yes,No,No,No,No,monthly,No,Electronic check,81,5135,No
80561_3,female,0,Yes,2,40,Yes,Yes,DSL,Yes,Yes,Yes,No,No,monthly,No,Electronic check,68,2000,No
75547_4,female,0,No,0,29,Yes,No,Fiber optic,No,No,No,No,No,monthly,Yes,Electronic check,70,932,No
80713_4,m,0,Yes,2,43,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,115,7396,No
82533_9,f,0,No,1,22,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,monthly,Yes,Bank transfer (automatic),85,3959,No
74292_10,male,0,No,0,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20,261,No
72811_8,male,0,No,1,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,monthly,No,Bank transfer (automatic),20,297,Yes
76515_8,f,0,Yes,3,29,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,monthly,Yes,Electronic check,93,1515,Yes
77254_7,male,0,Yes,2,36,Yes,No,DSL,Yes,Yes,No,No,Yes,monthly,Yes,Mailed check,63,817,No
79672_3,m,0,Yes,1,19,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Two year,No,Credit card (automatic),74,4868,No
71402_6,male,0,Yes,2,9,No,No phone service,DSL,No,Yes,No,No,No,monthly,No,Electronic check,29,688,No
79034_8,male,0,No,3,34,Yes,No,DSL,No,No,Yes,No,No,monthly,No,Mailed check,50,288,No
75213_10,male,1,Yes,1,18,Yes,Yes,DSL,Yes,No,Yes,No,No,One year,Yes,Electronic check,60,3230,Yes
79699_4,male,1,Yes,1,2,Yes,No,Fiber optic,No,No,No,No,No,monthly,Yes,Credit card (automatic),74,1178,Yes
70036_5,f,0,No,3,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,monthly,No,Electronic check,20,185,No
75392_4,female,0,No,0,26,Yes,No,Fiber optic,No,No,No,No,No,One year,Yes,Mailed check,75,966,No
82157_4,male,0,No,0,30,Yes,Yes,Fiber optic,No,No,No,Yes,No,monthly,Yes,Electronic check,85,759,Yes
72799_4,female,0,No,3,16,Yes,No,DSL,Yes,Yes,Yes,Yes,No,One year,No,Mailed check,74,1864,Yes
74502_8,male,1,No,0,26,No,No phone service,DSL,No,No,Yes,No,Yes,monthly,Yes,Electronic check,44,266,No
75884_3,female,0,Yes,1,30,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),85,3297,No
77698_10,m,0,Yes,0,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,monthly,Yes,Electronic check,94,4107,No
71405_10,m,0,No,2,32,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,monthly,Yes,Bank transfer (automatic),98,396,Yes
70760_1,f,0,No,2,41,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Two year,No,Electronic check,109,2809,No
79827_9,f,0,No,1,16,Yes,No,DSL,Yes,No,No,No,No,One year,No,Mailed check,56,1568,No
78383_1,female,0,Yes,0,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,26,1851,No
71863_7,male,0,No,2,23,Yes,Yes,Fiber optic,Yes,No,No,No,No,One year,Yes,Credit card (automatic),85,6029,No
71895_1,male,0,No,1,25,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,monthly,Yes,Credit card (automatic),89,2073,No
71390_3,m,0,No,3,12,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,110,5551,Yes
82486_10,f,0,No,1,7,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),74,4317,No
73321_2,female,0,No,1,14,Yes,No,DSL,No,No,No,No,No,monthly,No,Electronic check,49,737,No
70724_3,male,0,No,0,19,Yes,Yes,Fiber optic,Yes,No,No,No,No,monthly,Yes,Electronic check,80,336,No
73243_2,f,0,No,1,26,Yes,No,DSL,Yes,No,No,No,No,monthly,No,Electronic check,56,1523,No
79111_2,m,1,No,2,42,Yes,Yes,Fiber optic,No,No,No,No,No,monthly,Yes,Electronic check,75,623,Yes
75995_3,m,0,Yes,2,49,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,monthly,Yes,Bank transfer (automatic),90,4960,No
70211_2,f,0,No,3,26,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,monthly,Yes,Electronic check,101,330,Yes
81872_3,f,0,No,1,23,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,monthly,Yes,Electronic check,95,1049,Yes
71361_10,male,0,No,1,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19,1002,No
82634_2,m,0,Yes,2,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,monthly,No,Mailed check,20,443,No
72095_8,m,0,Yes,3,37,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),106,6704,No
82528_3,m,1,Yes,3,19,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,monthly,Yes,Electronic check,105,3352,Yes
78422_9,f,0,No,0,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20,779,No
72316_5,m,0,Yes,0,26,No,No phone service,DSL,No,No,No,No,No,One year,No,Bank transfer (automatic),24,260,Yes
74401_4,male,0,Yes,2,9,Yes,No,DSL,Yes,No,Yes,No,No,Two year,No,Bank transfer (automatic),60,3483,No
73552_3,f,0,Yes,3,37,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,86,4891,No
70355_2,f,0,No,3,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19,137,No
74230_9,f,0,Yes,1,2,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,monthly,No,Electronic check,97,184,No
70000_7,female,1,No,0,11,No,No phone service,DSL,No,Yes,No,No,No,monthly,No,Electronic check,37,1315,No
72915_1,male,1,Yes,3,40,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),104,6767,No
70183_2,female,0,Yes,2,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20,758,No
77737_5,m,0,Yes,2,27,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,104,6890,Yes
72689_2,female,0,No,1,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,25,1657,No
77922_10,female,0,Yes,3,43,No,No phone service,DSL,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),49,3009,No
77062_9,male,0,No,1,34,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,monthly,Yes,Mailed check,88,262,Yes
81779_3,male,0,Yes,2,17,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,110,8165,No
70896_2,m,0,Yes,1,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),21,876,No
80402_1,male,0,Yes,2,22,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,monthly,No,Credit card (automatic),95,2649,Yes
76706_6,female,0,No,2,38,Yes,No,DSL,Yes,No,No,No,No,monthly,No,Electronic check,55,221,No
79983_9,female,0,No,3,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),24,1302,No
71567_5,male,1,Yes,0,5,Yes,Yes,Fiber optic,No,No,No,No,No,monthly,Yes,Electronic check,74,74,Yes
76118_6,f,0,Yes,1,50,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,monthly,No,Credit card (automatic),80,3326,Yes
72137_5,female,0,Yes,3,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20,790,No
73525_2,m,0,Yes,1,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19,1238,No
71753_1,male,0,No,0,17,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,monthly,Yes,Electronic check,26,379,No
70717_2,m,0,Yes,1,22,Yes,No,DSL,No,No,No,No,No,One year,No,Electronic check,44,593,No
75860_1,female,0,No,3,37,Yes,No,DSL,No,No,No,No,No,monthly,Yes,Mailed check,50,50,No
77485_3,m,0,No,3,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20,20,No
72853_2,male,1,No,3,29,Yes,No,Fiber optic,No,No,No,No,No,monthly,Yes,Electronic check,70,561,Yes
80156_6,female,0,No,0,38,Yes,No,DSL,Yes,Yes,No,No,No,Two year,No,Electronic check,61,3638,No
79954_3,male,1,Yes,3,8,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,monthly,Yes,Electronic check,98,1060,Yes
78690_2,m,0,Yes,3,19,Yes,Yes,DSL,No,No,Yes,Yes,No,One year,No,Credit card (automatic),71,2922,No
73949_3,female,0,No,1,7,Yes,No,DSL,Yes,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),61,4017,No
80599_4,f,0,Yes,0,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20,855,No
74282_10,female,1,No,3,42,Yes,Yes,DSL,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),64,4174,No
80918_8,f,0,No,1,11,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,monthly,No,Electronic check,99,4921,No
80827_5,female,0,No,2,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,monthly,No,Mailed check,21,21,Yes
75315_9,female,0,No,1,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20,810,No
79668_3,female,0,Yes,1,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19,772,No
79773_5,female,0,Yes,2,20,Yes,No,Fiber optic,Yes,No,Yes,No,No,monthly,No,Mailed check,84,1937,No
77553_2,m,0,No,0,22,No,No phone service,DSL,No,No,No,No,No,monthly,No,Electronic check,25,80,No
76044_8,m,0,No,2,49,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,monthly,No,Mailed check,48,202,No
72544_5,female,0,Yes,2,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20,1071,No
78688_6,female,1,Yes,2,34,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,monthly,Yes,Electronic check,100,348,Yes
78151_6,m,0,No,0,26,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,monthly,Yes,Electronic check,94,1000,No
75161_7,male,0,Yes,2,21,Yes,No,DSL,Yes,No,No,No,Yes,monthly,Yes,Mailed check,62,113,No
82368_2,m,0,Yes,3,17,Yes,Yes,Fiber optic,No,No,No,No,No,monthly,No,Bank transfer (automatic),79,2016,No
80621_9,m,0,Yes,2,16,Yes,No,DSL,Yes,Yes,No,No,No,One year,Yes,Credit card (automatic),56,1454,No
81427_5,female,0,No,1,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,monthly,No,Mailed check,20,247,No
81291_5,female,1,Yes,3,47,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,monthly,Yes,Electronic check,99,6018,No
82447_2,m,0,Yes,1,24,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,91,5817,No
78038_5,m,0,Yes,2,26,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),86,5595,No
79478_6,male,0,No,0,20,Yes,Yes,Fiber optic,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),79,4765,No
76024_8,male,0,Yes,1,23,Yes,Yes,DSL,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),70,1202,No
71115_9,male,0,Yes,3,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19,867,No
83159_1,male,0,No,1,44,Yes,Yes,DSL,No,No,No,No,No,monthly,Yes,Electronic check,50,50,No
79670_7,male,0,Yes,2,33,Yes,No,DSL,No,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),64,3007,No
78535_5,m,0,Yes,3,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,monthly,Yes,Mailed check,21,253,No
74616_7,f,1,Yes,2,4,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),89,6307,No
79542_7,male,1,No,3,11,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,monthly,Yes,Credit card (automatic),101,6841,No
75950_7,f,0,No,0,11,Yes,No,Fiber optic,No,No,No,No,Yes,monthly,Yes,Electronic check,82,82,Yes
76845_2,f,0,Yes,0,2,Yes,No,Fiber optic,No,No,No,No,No,monthly,Yes,Electronic check,69,451,Yes
80572_3,male,0,No,3,45,Yes,No,DSL,No,No,No,No,No,monthly,No,Mailed check,45,45,No
82401_5,m,0,No,3,14,Yes,No,DSL,No,No,Yes,Yes,No,monthly,Yes,Bank transfer (automatic),64,226,No
71203_1,f,0,Yes,0,6,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),109,7083,No
75281_4,male,0,No,2,26,Yes,No,Fiber optic,No,No,No,No,Yes,monthly,Yes,Electronic check,85,1017,No
74311_9,f,0,No,1,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),20,527,No
76706_5,f,0,No,2,24,Yes,No,Fiber optic,No,No,No,Yes,No,monthly,Yes,Electronic check,86,2147,No
73994_3,f,0,No,3,5,Yes,No,Fiber optic,No,No,No,Yes,Yes,monthly,Yes,Electronic check,91,455,Yes
76286_4,male,0,Yes,3,45,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Two year,No,Electronic check,108,5970,No
79536_5,f,0,Yes,1,45,Yes,Yes,Fiber optic,No,No,No,Yes,No,monthly,Yes,Electronic check,86,1236,Yes
77981_1,m,0,Yes,3,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,23,1014,No
78209_6,female,0,No,1,27,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,monthly,Yes,Bank transfer (automatic),95,2362,Yes
79434_3,m,0,Yes,2,47,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19,1226,No
82057_9,female,0,Yes,2,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,monthly,Yes,Electronic check,85,1874,Yes
73722_2,male,0,No,2,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),20,387,No
74569_3,female,0,Yes,2,19,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,monthly,Yes,Electronic check,99,6010,Yes
81000_2,male,0,Yes,0,6,Yes,No,Fiber optic,No,Yes,No,Yes,No,monthly,Yes,Bank transfer (automatic),87,1851,No
78555_1,female,1,Yes,0,39,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,monthly,Yes,Electronic check,103,7102,Yes
72880_4,m,0,No,0,47,Yes,No,Fiber optic,No,No,No,No,Yes,monthly,Yes,Bank transfer (automatic),80,1043,No
71658_3,f,0,Yes,0,26,Yes,No,DSL,Yes,No,Yes,No,Yes,One year,Yes,Electronic check,64,1911,No
82640_3,f,0,No,1,16,Yes,No,DSL,No,No,No,Yes,Yes,monthly,Yes,Electronic check,65,716,No
71992_4,m,0,Yes,0,24,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,26,1686,No
74509_10,male,1,Yes,1,12,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),90,6716,No
79903_4,m,1,No,2,42,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),116,7840,No
73553_6,m,0,No,3,49,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,monthly,Yes,Bank transfer (automatic),105,6237,No
75229_2,female,0,No,0,36,Yes,No,DSL,No,No,No,No,No,monthly,Yes,Mailed check,45,45,Yes
72637_10,f,1,No,2,39,Yes,No,Fiber optic,No,No,No,No,No,monthly,Yes,Electronic check,71,71,Yes
73697_6,f,0,Yes,3,43,No,No phone service,DSL,Yes,Yes,No,Yes,No,One year,No,Mailed check,50,2920,No
71928_8,male,1,Yes,0,48,Yes,No,Fiber optic,No,No,No,No,No,monthly,No,Bank transfer (automatic),71,3309,Yes
78349_5,f,0,No,0,36,Yes,No,Fiber optic,No,No,No,No,Yes,monthly,Yes,Electronic check,80,80,Yes
79657_6,female,0,No,3,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,monthly,No,Mailed check,20,20,No
72721_9,female,0,No,2,8,Yes,Yes,DSL,Yes,No,No,No,No,monthly,No,Electronic check,59,1255,Yes
81761_8,f,0,No,1,34,Yes,No,DSL,Yes,Yes,Yes,No,No,One year,Yes,Credit card (automatic),60,2896,Yes
80601_7,female,0,Yes,3,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),20,718,No
75395_1,m,0,No,1,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20,254,No
82437_2,m,0,No,0,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),26,1110,No
73896_8,m,0,No,3,5,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,63,349,No
75523_2,male,0,No,1,34,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),54,3889,No
72781_5,female,1,Yes,0,16,Yes,No,Fiber optic,No,No,No,No,No,monthly,Yes,Electronic check,69,69,Yes
81594_9,f,0,Yes,2,23,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Two year,Yes,Electronic check,95,6843,No
70055_8,m,1,No,3,47,Yes,No,Fiber optic,Yes,No,No,No,No,monthly,Yes,Electronic check,74,451,No
82654_2,male,0,Yes,0,8,No,No phone service,DSL,No,No,Yes,No,No,monthly,No,Mailed check,36,432,No
83127_7,female,0,No,2,44,Yes,No,Fiber optic,No,No,No,No,No,monthly,No,Mailed check,71,1767,Yes
73232_9,male,0,Yes,1,35,Yes,No,Fiber optic,No,Yes,Yes,No,No,One year,No,Electronic check,79,1742,No
76532_7,f,0,Yes,3,12,Yes,No,DSL,No,No,Yes,No,No,monthly,Yes,Mailed check,49,297,No
74058_2,m,0,Yes,2,24,Yes,No,Fiber optic,No,No,No,Yes,Yes,monthly,Yes,Mailed check,89,1820,Yes
74495_9,f,0,Yes,1,31,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,monthly,Yes,Electronic check,99,1743,Yes
82259_8,m,0,No,3,10,Yes,No,DSL,No,No,Yes,No,No,One year,No,Electronic check,55,2444,No
73090_1,female,0,Yes,2,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25,950,No
77507_7,f,0,No,2,3,Yes,No,Fiber optic,No,Yes,No,No,No,monthly,No,Bank transfer (automatic),74,74,Yes
81803_7,f,1,Yes,1,11,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,monthly,Yes,Electronic check,94,2971,No
77355_8,f,0,No,0,24,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),64,3335,No
75820_7,f,0,No,2,43,Yes,No,DSL,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),65,2011,No
79345_10,male,0,Yes,3,2,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),64,4684,No
79483_7,f,0,No,0,44,No,No phone service,DSL,Yes,No,Yes,No,Yes,monthly,Yes,Credit card (automatic),44,2182,No
72475_4,m,0,Yes,2,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20,1303,No
71301_7,male,1,Yes,1,12,No,No phone service,DSL,No,Yes,No,No,Yes,monthly,Yes,Mailed check,43,371,No
82264_3,male,0,Yes,2,3,No,No phone service,DSL,No,No,No,Yes,Yes,Two year,No,Credit card (automatic),50,2410,No
77882_1,f,0,Yes,2,19,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,85,6155,No
79936_10,m,0,No,3,41,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,monthly,Yes,Electronic check,96,829,Yes
76924_9,m,0,Yes,2,49,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,monthly,Yes,Mailed check,92,2603,Yes
74917_3,f,0,No,1,40,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,monthly,No,Mailed check,90,4667,No
72080_5,female,0,No,2,21,Yes,No,Fiber optic,No,No,No,No,No,monthly,Yes,Electronic check,75,825,Yes
76277_7,m,0,Yes,2,22,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,One year,No,Mailed check,103,5154,No
79202_6,m,0,Yes,1,3,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,116,8183,No
71941_5,male,0,No,0,9,Yes,No,Fiber optic,No,No,No,No,No,monthly,Yes,Electronic check,70,70,No
